stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
000000035700001,357,Cintorín Slávičie,,48.1582450866699,17.0682907104492,100,0,,,,,A
000000066200001,662,Rudolfa Mocka,,48.1616516113281,17.0671215057373,100,0,,,,,A
000000066200002,662,Rudolfa Mocka,,48.1615333557129,17.0673809051514,100,0,,,,,B
000000065700001,657,Vretenová,,48.1625213623047,17.0626220703125,100,0,,,,,A
000000065700002,657,Vretenová,,48.162410736084,17.0623149871826,100,0,,,,,B
000000065800001,658,Na Sitine,,48.1611480712891,17.0610103607178,100,0,,,,,A
000000065800002,658,Na Sitine,,48.1613121032715,17.0610904693604,100,0,,,,,B
000000066400001,664,Nad vinicami,,48.1595458984375,17.0621929168701,100,0,,,,,A
000000066400002,664,Nad vinicami,,48.159725189209,17.062141418457,100,0,,,,,B
000000065900001,659,Bedľová,,48.1574096679688,17.0638198852539,100,0,,,,,A
000000065900002,659,Bedľová,,48.1575508117676,17.0638809204102,100,0,,,,,B
000000066100001,661,Tôňava,,48.1534805297852,17.0654029846191,100,0,,,,,A
000000066100002,661,Tôňava,,48.1537170410156,17.0654487609863,100,0,,,,,B
000000066000001,660,Panoráma,,48.1507339477539,17.0663661956787,100,0,,,,,A
000000066000002,660,Panoráma,,48.1512336730957,17.0662670135498,100,0,,,,,B
000000065600002,656,Hájnická,,48.1506309509277,17.0644035339355,100,0,,,,,B
000000013400004,134,Jurigovo nám.,,48.1529159545898,17.0619068145752,100,0,,,,,D
000000071900002,719,Koliba P+R,,48.1748046875,17.1007881164551,100,0,,,,,B
000000064100001,641,Kamzík,,48.1818923950195,17.0980472564697,100,0,,,,,A
000000064700001,647,Júlová,,48.1685333251953,17.0976753234863,100,0,,,,,A
000000064700002,647,Júlová,,48.1683731079102,17.0980663299561,100,0,,,,,B
000000058500001,585,Na Revíne,,48.1685371398926,17.0958156585693,100,0,,,,,A
