service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
Prac.dny_0,1,1,1,1,1,0,0,20240506,20241231
Leto_1,1,1,1,1,1,0,0,20240506,20241231
Soboty_2,0,0,0,0,0,1,0,20240506,20241231
Nedela+sv_3,0,0,0,0,0,0,1,20240506,20241231
Prac.dny_4,1,1,1,1,1,0,0,20240506,20241231
cv_5,1,1,1,1,1,0,0,20240506,20241231
wx_6,1,1,1,1,1,1,1,20240506,20241231
ww_7,0,0,0,0,0,0,1,20240506,20241231
wv_8,1,1,1,1,1,0,0,20240506,20241231
